merchant_id,arrivals,rank,merchant_pct,cumulative_share_pct
3575152703825660521,841654,1,0.02469135802469136,0.35559084722254763
3019222373823082944,836294,2,0.04938271604938272,0.7089171451871902
5867120828927365743,763822,3,0.07407407407407407,1.0316247092303965
18434795545984859094,742676,4,0.09876543209876544,1.3453982884587408
2014913132985249616,727794,5,0.12345679012345678,1.6528843635721329
8487778002198394517,723007,6,0.14814814814814814,1.9583479765031382
12338369394966781254,706752,7,0.17283950617283952,2.25694400581712
5456381362675222108,700476,8,0.19753086419753088,2.5528884845447934
15593721069387589025,693259,9,0.2222222222222222,2.845783849094426
13014840395626825952,679407,10,0.24691358024691357,3.1328268747782926
18429416919415444404,652917,11,0.2716049382716049,3.408678126237924
2923382764302196607,646469,12,0.2962962962962963,3.6818051587395373
16954702197632898538,638943,13,0.32098765432098764,3.951752527488354
12771198158799964145,610653,14,0.34567901234567905,4.209747639053189
6427550395862306518,599385,15,0.3703703703703704,4.462982127290027
435744472695844221,598002,16,0.39506172839506176,4.71563231111946
4177869329254908356,578649,17,0.41975308641975306,4.9601060356600435
14633871240854396463,572358,18,0.4444444444444444,5.20192187225632
14982445143014021461,552493,19,0.4691358024691358,5.435344934410753
2355654582224914237,545634,20,0.49382716049382713,5.665870133998027
14197421659124887728,535754,21,0.5185185185185185,5.892221127117372
9092126178825471641,518073,22,0.5432098765432098,6.111102065119361
11687486567974218238,509824,23,0.5679012345679012,6.326497878713057
6696476427858609704,501462,24,0.5925925925925926,6.538360826468208
11816127080140371599,491592,25,0.6172839506172839,6.74605379266076
4024778097813457949,482747,26,0.6419753086419753,6.950009830087235
10031176337407475414,470668,27,0.6666666666666667,7.148862604363295
7035017475724895100,467055,28,0.6913580246913581,7.346188920342933
4799177575290712187,451369,29,0.7160493827160495,7.536888049818935
1484781061082214598,448989,30,0.7407407407407408,7.726581651825941
5481304865285093731,447642,31,0.7654320987654322,7.9157061590847375
2836820111148428689,444884,32,0.7901234567901235,8.103665437452994
3470562815040999824,443376,33,0.8148148148148148,8.290987600097196
