merchant_id,mcc,channel,home_country_iso
1194674121029597,3147,card_present,MT
1694081450446801,5074,card_present,LU
2697116941085629,3593,card_not_present,LU
3361754771680650,3746,card_present,ES
4018767693729099,3396,card_present,US
6091668265320731,5072,card_present,AD
7400746937667220,3371,card_present,CA
8344760791563229,3136,card_not_present,SG
9496054709621751,3078,card_present,ES
10088457760846324,3734,card_present,MT
10766668736889901,3262,card_present,JP
12457350563289900,3698,card_present,LU
12583115176444382,3617,card_present,BE
14941660558955718,3022,card_present,MO
18638034984233531,7829,card_present,EC
19498508446557154,3390,card_present,IL
20153318656458886,3264,card_not_present,PE
22213757641901002,3045,card_present,SG
22971373432242841,3698,card_present,DE
23202490577169710,3630,card_present,CA
24039331078331037,3106,card_present,NO
26029947970438437,3127,card_not_present,US
26887525161031263,3046,card_present,LU
29338682519426601,3167,card_present,IS
29422992190498033,3696,card_present,GB
30198070187404933,3081,card_present,LU
30433927170566456,3022,card_present,TH
31079104273326678,3668,card_present,DK
32201076195409628,3666,card_present,PE
32298855134720639,3165,card_present,MO
33225746637930727,3703,card_present,SA
34195355764694003,5932,card_present,AG
36303150145560718,3060,card_present,GB
38520329174743753,5045,card_not_present,SG
38627025454245782,3650,card_present,CH
38638409905542311,3583,card_present,TR
41117427824746403,8044,card_not_present,TL
41151468467052939,3672,card_present,FM
42335741151376840,4723,card_present,AL
43327075756820720,8021,card_present,AU
43904736591744295,3175,card_present,IE
44071087229034636,742,card_present,AE
44632433538302459,3093,card_present,NL
44801713664055679,3140,card_present,IS
44963547680969782,3136,card_not_present,PE
45963143355333647,3591,card_present,BS
46564923982789256,3426,card_present,CH
46705112372852116,3233,card_not_present,MO
47803948541351142,3396,card_present,CA
47878179986687785,5641,card_present,PR
48289390764414743,3378,card_present,LU
48799387634544533,3723,card_present,IE
49090487239865317,3761,card_not_present,TC
51103840907064899,3597,card_not_present,SE
51164071770932780,3359,card_not_present,QA
51177556891990132,3241,card_not_present,SG
51655351826520455,3663,card_present,FR
52544931136212540,3696,card_present,MA
52898176700666732,5641,card_present,IE
54744543050427295,9701,card_present,GR
54925807228243259,3100,card_present,SE
55467955457567737,3787,card_present,BE
55787944859982462,3512,card_present,MO
56177620227345149,3559,card_present,FI
58275125142209897,3434,card_present,BN
58381917660859487,3162,card_present,GB
60157347616057747,8062,card_not_present,US
61035824912625885,3612,card_present,DK
64357307130220570,5814,card_present,CO
65802390041202069,3122,card_present,IT
68513000449329420,3354,card_present,CA
68613460773050877,8299,card_present,TC
69715892384261282,4899,card_not_present,BM
70387820240464607,5193,card_present,EE
71453514559894836,2842,card_present,KN
71878757290186793,5722,card_not_present,IE
74626659299128877,3275,card_present,AT
74943668160608725,5931,card_present,MT
77368151910903175,3266,card_present,CL
83279014913772364,3602,card_present,VU
83701431482283261,3226,card_present,CY
84103564875855502,7534,card_present,NO
